timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779136576871,250,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-9,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,250,0,0
1779136575977,1148,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-5,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,1148,0,0
1779136577119,19,S2-R1 GET /api/public/specialties,200,,Escenario 2 — Carga Alta (30 usuarios) 2-5,text,true,,638,170,30,130,http://localhost:8080/api/public/specialties,19,0,0
1779136575295,1847,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-6,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,1847,0,0
1779136575967,1176,S2-R2 POST /api/auth/login,200,,Escenario 2 — Carga Alta (30 usuarios) 2-29,text,true,,832,237,30,130,http://localhost:8080/api/auth/login,1162,0,0
1779136576142,1002,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-28,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,999,0,0
1779136575966,1180,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-34,text,true,,831,237,100,130,http://localhost:8080/api/auth/login,1180,0,0
1779136576052,1121,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-84,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,1121,0,0
1779136576186,1001,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-22,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,996,0,0
1779136575149,2041,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-49,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,2039,0,0
1779136576166,1025,S2-R1 GET /api/public/specialties,200,,Escenario 2 — Carga Alta (30 usuarios) 2-27,text,true,,638,170,30,130,http://localhost:8080/api/public/specialties,1025,0,0
1779136576217,998,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-83,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,998,0,0
1779136576051,1164,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-50,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,1164,0,0
1779136576052,1195,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-4,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,1195,0,0
1779136576266,1010,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-82,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,1010,0,0
1779136576239,1037,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-95,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,1033,0,0
1779136576228,1048,S2-R1 GET /api/public/specialties,200,,Escenario 2 — Carga Alta (30 usuarios) 2-21,text,true,,638,170,30,130,http://localhost:8080/api/public/specialties,1044,0,0
1779136575258,2023,S2-R2 POST /api/auth/login,200,,Escenario 2 — Carga Alta (30 usuarios) 2-11,text,true,,831,237,30,130,http://localhost:8080/api/auth/login,2020,0,0
1779136576275,1021,S2-R1 GET /api/public/specialties,200,,Escenario 2 — Carga Alta (30 usuarios) 2-1,text,true,,637,170,30,130,http://localhost:8080/api/public/specialties,1021,0,0
1779136576157,1161,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-100,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,1139,0,0
1779136576052,1266,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-66,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,1266,0,0
1779136577112,208,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-15,text,true,,831,237,100,130,http://localhost:8080/api/auth/login,206,0,0
